latitudeAirport,longitudeAirport,nameAirport,nameCountry,geometry
36.821392,7.811857,Les Salines,,POINT (7.811857 36.821392)
-12.916667,-46.933334,Arraias,Brazil,POINT (-46.933334 -12.916667)
16.709167,-9.635556,Aioun El Atrouss,Mauritania,POINT (-9.635556 16.709167)
40.630405,8.295891,Fertilia,Italy,POINT (8.295891 40.630405)
19.730556,-14.374444,Akjoujt,Mauritania,POINT (-14.374444 19.730556)
36.70058,3.21167,Houari Boumediene,,POINT (3.21167 36.70058)
-16.333332,-48.966667,Anapolis,Brazil,POINT (-48.966667 -16.333332)
-9.133333,-45.933334,Alto Parnaiba,Brazil,POINT (-45.933334 -9.133333)
20.499443,-13.046389,Mouakchott,Mauritania,POINT (-13.046389 20.499443)
27.883333,-0.283333,Adrar,,POINT (-0.283333 27.883333)
16.633333,-14.2,Abbaye,Mauritania,POINT (-14.2 16.633333)
36.75,5.083333,Bejaia,,POINT (5.083333 36.75)
13.34406,-16.6522,Yundum International,Gambia,POINT (-16.6522 13.34406)
35.566666,6.183333,Batna,,POINT (6.183333 35.566666)
11.3,-15.85,Bubaque,Guinea-Bissau,POINT (-15.85 11.3)
-11.083333,-43.13333,Barra,Brazil,POINT (-43.13333 -11.083333)
-12.073056,-45.00833,Barreiras,Brazil,POINT (-45.00833 -12.073056)
-15.869807,-47.921486,Presidente Juscelino Kubitschek,Brazil,POINT (-47.921486 -15.869807)
34.79333,5.738056,Mohamed Boudiaf,,POINT (5.738056 34.79333)
-7.516667,-46.05,Balsas,Brazil,POINT (-46.05 -7.516667)
35.166668,4.15,Ain Eddis,,POINT (4.15 35.166668)
14.841667,-12.467778,Bakel,Senegal,POINT (-12.467778 14.841667)
39.254333,9.060673,Elmas,Italy,POINT (9.060673 39.254333)
31.647778,-2.259722,Leger,,POINT (-2.259722 31.647778)
36.212223,1.331667,Aboubakr Belkaid,,POINT (1.331667 36.212223)
20.45,-12.366667,Chinguitti,Mauritania,POINT (-12.366667 20.45)
-2.916667,-40.833332,Camocim,Brazil,POINT (-40.833332 -2.916667)
-7.266667,-35.9,Joao Suassuna,Brazil,POINT (-35.9 -7.266667)
12.4,-16.75,Cap Skirring,Senegal,POINT (-16.75 12.4)
36.286476,6.618425,Constantine Mohamed Boudiaf International Airport,,POINT (6.618425 36.286476)
39.35,8.966667,Rafsu Decimomannu,Italy,POINT (8.966667 39.35)
14.744975,-17.490194,Dakar-Yoff-LÃ?opold SÃ?dar Senghor International,Senegal,POINT (-17.490194 14.744975)
-11.616667,-46.85,Dianopolis,Brazil,POINT (-46.85 -11.616667)
33.717804,1.094105,El Bayadh,,POINT (1.094105 33.717804)
30.5675,2.864722,Djamet,,POINT (2.864722 30.5675)
33.516666,6.783333,Guemar,,POINT (6.783333 33.516666)
-15.0,-44.0,Espinosa,Brazil,POINT (-44 -15)
15.133333,-10.566667,Yelimane,Mali,POINT (-10.566667 15.133333)
-3.85,-32.416668,Fernando De Noronha,Brazil,POINT (-32.416668 -3.85)
22.675,-12.731944,Fderik,Mauritania,POINT (-12.731944 22.675)
-6.8,-43.033333,Cangapara,Brazil,POINT (-43.033333 -6.8)
39.90306,8.59194,Fenosu,Italy,POINT (8.59194 39.90306)
-3.779073,-38.540836,Pinto Martins,Brazil,POINT (-38.540836 -3.779073)
33.88333,10.033333,Gabes,Tunisia,POINT (10.033333 33.88333)
34.416668,8.816667,Gafsa,Tunisia,POINT (8.816667 34.416668)
27.0,-7.566667,Gabala,Azerbaijan,POINT (-7.566667 27)
-6.781944,-43.58167,Guadalupe,Brazil,POINT (-43.58167 -6.781944)
32.38222,3.800556,Noumerate,,POINT (3.800556 32.38222)
36.8,5.883333,Jijel,,POINT (5.883333 36.8)
-11.666667,-49.216667,Gurupi,Brazil,POINT (-49.216667 -11.666667)
31.675303,6.145436,Oued Irara Airport,,POINT (6.145436 31.675303)
33.166668,3.2,Tilrempt,,POINT (3.2 33.166668)
27.25,2.516667,In Salah,,POINT (2.516667 27.25)
-11.3,-41.86667,Irece,Brazil,POINT (-41.86667 -11.3)
-11.183333,-40.516666,Jacobina,Brazil,POINT (-40.516666 -11.183333)
-7.2,-39.316666,Regional Do Cariri,Brazil,POINT (-39.316666 -7.2)
-15.474167,-44.385834,Januaria,Brazil,POINT (-44.385834 -15.474167)
-7.145357,-34.94816,Castro Pinto,Brazil,POINT (-34.94816 -7.145357)
12.883333,-14.966667,Kolda,Senegal,POINT (-14.966667 12.883333)
16.161388,-13.507778,Kaedi,Mauritania,POINT (-13.507778 16.161388)
16.588888,-11.405278,Kiffa,Mauritania,POINT (-11.405278 16.588888)
14.083333,-16.5,Kaolack,Senegal,POINT (-16.5 14.083333)
14.431944,-11.439444,Kayes,Mali,POINT (-11.439444 14.431944)
-13.256944,-43.4125,Bom Jesus Da Lapa,Brazil,POINT (-43.4125 -13.256944)
-12.48,-41.281113,Chapada Diamantina,Brazil,POINT (-41.281113 -12.48)
17.166668,-13.95,Aleg,Mauritania,POINT (-13.95 17.166668)
33.833332,2.983333,L'Mekrareg,,POINT (2.983333 33.833332)
15.593056,-13.323611,Matam,Senegal,POINT (-13.323611 15.593056)
16.033333,-12.583333,Mbout,Mauritania,POINT (-12.583333 16.033333)
35.76108,10.753155,Habib Bourguiba,Tunisia,POINT (10.753155 35.76108)
17.75,-12.5,Moudjeria,Mauritania,POINT (-12.5 17.75)
-13.533333,-48.233334,Municipal,Brazil,POINT (-48.233334 -13.533333)
35.333332,0.15,Mascara-Ghriss,,POINT (0.15 35.333332)
-5.166667,-37.25,Dixsept Rosado,Brazil,POINT (-37.25 -5.166667)
33.521942,-0.283056,Mechria,,POINT (-0.283056 33.521942)
-5.916787,-35.250244,Augusto Severo,Brazil,POINT (-35.250244 -5.916787)
36.075832,10.438611,Zine El Abidine Ben Ali International Airport,Tunisia,POINT (10.438611 36.075832)
13.066667,-12.716667,Niokolo Koba,Senegal,POINT (-12.716667 13.066667)
18.098148,-15.952041,Nouakchott,Mauritania,POINT (-15.952041 18.098148)
-14.0,-48.983334,Niquelandia,Brazil,POINT (-48.983334 -14)
31.916668,5.4,Ain Beida,,POINT (5.4 31.916668)
17.75,-14.666667,Boutilimit,Mauritania,POINT (-14.666667 17.75)
22.733334,-12.35,Zouerate,Mauritania,POINT (-12.35 22.733334)
11.888889,-15.657222,Osvaldo Vieira International,Guinea-Bissau,POINT (-15.657222 11.888889)
-9.397778,-38.22222,Paulo Afonso,Brazil,POINT (-38.22222 -9.397778)
-7.083333,-41.466667,Picos,Brazil,POINT (-41.466667 -7.083333)
-10.241667,-48.35278,Palmas,Brazil,POINT (-48.35278 -10.241667)
-10.7,-48.416668,Porto Nacional,Brazil,POINT (-48.416668 -10.7)
36.81361,11.966111,Pantelleria,Italy,POINT (11.966111 36.81361)
-9.393333,-40.490555,Internacional,Brazil,POINT (-40.490555 -9.393333)
16.666668,-14.966667,Podor,Senegal,POINT (-14.966667 16.666668)
36.18139,5.331111,Setif,,POINT (5.331111 36.18139)
