cluster,longitude,latitude,weather_risk,bird_risk,temperature_2m,precipitation,wind_speed,humidity,bird_obs_count
0,-145.27761659897354,-17.038536235769406,3.04,0.0,25.5,0.0,45.874624000000004,65.0,0
1,7.811857,36.82139200000001,3.239660904366101,0.0,22.8,0.0,17.300176,94.0,0
2,-64.46389,9.431943999999994,2.4751118015159035,0.0,30.6,0.0,26.047456,89.0,0
3,-77.54604490087152,8.361325276408643,2.1807630873608903,8.787620335666183,28.8,0.0,14.773183999999999,97.0,211
4,-13.435874934744602,28.934870046473815,3.13,4.2879093615118515,23.5,0.0,48.790384,79.0,56
5,-75.92566538165549,5.581081580958328,4.6438789846532424,9.875992707795566,18.9,0.1,17.883328,95.0,439
6,-74.80853709477634,7.071355680122934,4.8795671924678,0.0,23.3,0.0,9.913584,96.0,0
7,-9.55589500000002,30.378325999999998,2.7435411249352515,6.17107114024888,21.5,0.0,5.637136,92.0,96
8,-69.23333,9.552222000000002,2.8229456526528316,3.6871635449307405,28.2,0.0,28.574448,81.0,46
9,-146.16372494185015,-14.433000306587273,3.539333333333333,0.0,25.5,0.3,57.34328,81.0,0
10,-3.6912373883816083,35.202569467138815,1.8163497530945105,0.0,19.4,0.0,12.246191999999999,90.0,0
11,3.2116700000000042,36.700579999999995,2.9900151805129607,1.392920235749422,22.3,0.0,9.524816000000001,95.0,15
12,-146.08332999999996,-15.416667,3.3526666666666665,0.0,25.9,0.3,60.842192000000004,75.0,0
13,-76.61670040444682,8.687515860408688,2.969655394950665,4.674081989931028,29.8,0.0,26.630608,85.0,63
14,-71.43166,7.033056,1.9690287270843676,0.0,28.5,0.8,12.246191999999999,87.0,0
15,-70.85051481966487,7.200783792598557,2.2673312954420326,0.09950166250831893,29.4,0.0,14.773183999999999,83.0,1
16,-146.56889745530145,-15.237641406327066,3.608,0.0,25.9,0.4,61.425344,82.0,0
17,-75.33536012121385,8.329677938575689,1.8008082142125885,4.2305018961951335,29.2,0.0,3.110144,83.0,55
18,-73.53904146354843,8.34541269681701,1.8496902656997052,3.4949090527668347,30.0,0.0,13.412496,85.0,43
19,-73.21570535585246,6.997356516148871,5.101212482380422,8.577259284134865,27.0,0.0,13.023728,77.0,195
20,-78.20283616267373,7.46020904929684,6.20832515177736,0.0,26.6,2.4,22.35416,86.0,0
21,-0.2257365293894041,35.243879744099466,3.234056684775908,0.0,18.4,0.0,31.490208,95.0,0
