latitudeAirport,longitudeAirport,nameAirport,nameCountry
-17.05,-145.41667,Anaa,French Polynesia
-26.7,141.04167,Arrabury,Australia
31.133333,33.75,El Arish International Airport,Egypt
36.821392,7.811857,Les Salines,
29.733334,-84.98333,Apalachicola Regional,United States
-24.103611,-49.79,Arapoti,Brazil
50.75,6.133333,Aachen/Merzbruck,Germany
-12.916667,-46.933334,Arraias,Brazil
3.9,-55.36667,Cayana Airstrip,Suriname
0.166667,173.58333,Aranuka,Kiribati
57.08655,9.872241,Aalborg,Denmark
-24.8,31.533333,Mala Mala,South Africa
24.260231,55.616627,Al Ain,United Arab Emirates
9.431944,-64.46389,Anaco,Venezuela
44.9,37.316666,Anapa,Russia
56.30823,10.626351,Aarhus Airport,Denmark
-3.916667,139.25,Apalapsili,Indonesia
47.750362,88.08444,Altay,China
-13.458333,-172.6,Asau,Samoa
6.333333,124.76667,Allah Valley,Philippines
34.2,73.25,Abbottabad,Pakistan
-19.568056,-46.92917,Araxa,Brazil
16.19596,52.173256,Al Ghaydah,Yemen
14.87,-91.5,Quetzaltenango,Guatemala
53.716667,91.5,Abakan,Russia
6.203333,6.65888,Asaba International,Nigeria
38.948334,-1.863333,Los Llanos,Spain
30.363905,48.226597,Abadan,Iran
40.651573,-75.434364,Lehigh Valley International,United States
1.670833,173.30417,Abaiang,Kiribati
-17.666668,143.2,Abingdon,Australia
-23.65,146.63333,Alpha,Australia
32.409443,-99.679726,Municipal,United States
5.254879,-3.933015,Felix Houphouet Boigny,
6.733889,44.26611,Kabri Dar,Ethiopia
67.0875,-157.84584,Ambler,United States
-10.942619,142.45033,Bamaga Injinoo,Australia
5.5,-54.083332,Albina,Suriname
5.433333,-3.216667,Aboisso,
-6.066667,141.1,Atkamba,Papua New Guinea
35.049625,-106.617195,Albuquerque International,United States
45.4525,-98.42611,Municipal,United States
22.367567,31.609774,Abu Simbel,Egypt
20.29401,41.64002,Al-Aqiq,Saudi Arabia
-9.133333,124.88333,Atambua,Indonesia
9.004614,7.270447,Nnamdi Azikiwe International Airport,Nigeria
-10.183333,148.7,Abau,Papua New Guinea
-36.069626,146.95453,Albury,Australia
31.532223,-84.19611,Dougherty County,United States
57.200253,-2.204186,Dyce,United Kingdom
16.762403,-99.75459,General Juan N. Alvarez International,Mexico
44.983334,-85.21667,Antrim County,United States
5.60737,-0.171769,Kotoka,Ghana
8.516667,-77.3,Acandi,Colombia
28.950668,-13.609059,Lanzarote,Spain
47.483334,9.566667,Altenrhein,Switzerland
49.709347,-2.215369,The Blaye,Guernsey
8.35,80.38333,Anuradhapura,Sri Lanka
41.256668,-70.05972,Nantucket Memorial,United States
4.75,-73,Aguaclara,Colombia
-2,-71.833336,Arica,Colombia
29.3,-100.916664,Ciudad Acu√?a International Airport,Mexico
37.347244,46.145115,Sahand,Iran
-0.383333,-72.3,Araracuara,Colombia
56.266666,90.566666,Achinsk,Russia
31.609133,-97.22321,Municipal,United States
9.576389,-79.72444,Achutupo,Panama
40.970913,-124.106926,Arcata,United States
25.085556,104.95944,Xingyi,China
39.450703,-74.572235,Atlantic City International,United States
31.087694,61.542244,Zabol Airport,Iran
36.98503,35.29736,Adana,Turkey
38.294403,27.147594,Adnan Menderes Airport,Turkey
-7.133333,145.73334,Andakombe,Papua New Guinea
8.983759,38.7959,Bole International,Ethiopia
12.826116,45.037537,Aden International Airport,Yemen
37.75,38.266666,Adiyaman,Turkey
41.9,-84.03333,Lenawee County,United States
58.6,125.4,Aldan,Russia
-22.4,15,Arandis,Namibia
31.97533,35.98277,Marka International Airport,Jordan
51.88278,-176.64473,Adak Island Ns,United States
-34.938175,138.53735,Adelaide International Airport,Australia
34.303055,-97.01945,Ardmore Municipal Airport,United States
5.666667,-75.933334,Andes,Colombia
-31.016666,137.15,Andamooka,Australia
7.336389,81.625275,Ampara,Sri Lanka
57.755276,-152.51297,Kodiak Airport,United States
33.45,-79.566666,Andrews,United States
32.783333,-97.3,Addison Airport,United States
34.8,-96.666664,Ada Municipal,United States
38.323826,48.42125,Ardabil,Iran
38.816666,-76.86667,Andrews AFB,United States
56.36667,-2.866667,Leuchars,United Kingdom
-22.666668,29.05,Alldays,South Africa
12.586047,-81.70221,San Andres Island,Colombia
0.483333,173.85,Abemama Atoll,Kiribati
23.71947,106.96777,Youjiang,China
58.033333,-152.9,Aleneva,United States
10.05667,32.96096,Adareil,South Sudan
1.399722,99.416664,Aek Godang,Indonesia
13.851389,20.850834,Ab√?ch√?,
36.1289,-5.441301,Algeciras,Spain
-7.366667,146.28334,Aseki,Papua New Guinea
43.65,-93.36667,Albert Lea,United States
16.709167,-9.635556,Aioun El Atrouss,Mauritania
-34.55622,-58.41667,Aeroparque Jorge Newbery,Argentina
43.44884,39.941105,Sochi/Adler International Airport,Russia
62.559643,6.116605,Vigra,Norway
66.56167,-152.65834,Allakaket,United States
25.8875,55.041668,Abu Musa,Iran
31.321268,-92.53958,Alexandria International,United States
65.654564,-18.075068,Akureyri,Iceland
-34.58917,-68.40056,San Rafael,Argentina
-33.583332,26.883333,Port Alfred,South Africa
38.833332,-104.7,USAF Academy Airstrip,United States
6.916667,-75.066666,Amalfi,Colombia
40.668888,-96.00694,Kondavattavan Tank,Sri Lanka
-9.872456,-56.104767,Alta Floresta,Brazil
42.833332,-72.066666,Municipal,United States
42.733334,-110.933334,Municipal,United States
-9.133333,148.38333,Afore,Papua New Guinea
41.61361,64.233055,Zarafshan,Uzbekistan
-9.2,160.85,Afutara Aerodrome,Solomon Islands
32.986668,-97.316666,Fort Worth Alliance,United States
38.733334,30.6,Afyon,Turkey
36.171513,57.60332,Sabzevar,Iran
30.378326,-9.555895,Agadir Almassira,Morocco
48.425278,10.931667,Augsburg - Muehlhausen,Germany
40.35472,-79.93,Allegheny County,United States
-1.383333,133.86667,Anggi,Indonesia
53.783333,7.916667,Flugplatz,Germany
44.17361,0.598611,La Garenne,France
-4.168611,144.07388,Angoram,Papua New Guinea
56.293056,12.8625,Angelholm,Sweden
5.833333,-56.833332,Wageningen,Suriname
26.589722,127.23805,Aguni,Japan
-6.403333,143.84666,Kagua,Papua New Guinea
-9.340278,149.15527,Wanigela,Papua New Guinea
65.6,-37.683334,Tasiilaq,Greenland
57.503887,-134.58333,Angoon,United States
33.266666,-93.23333,Municipal,United States
36.675182,-4.489616,Pablo Ruiz Picasso,Spain
27.158333,77.962776,Kheria,India
33.373665,-81.973434,Bush Field,United States
-25.5,-54.833332,Alejo Garcia,Paraguay
21.701416,-102.31374,Aguascalients,Mexico
9.552222,-69.23333,Acarigua,Venezuela
-12.15,142.15,Agnew,Australia
10.828967,72.17987,Agatti Island,India
-29.05,18.85,Aggeneys,South Africa
26.2,127.65,Naha AFB,Japan
18.23429,42.657574,Abha,Saudi Arabia
40.15,-120.13333,Amedee AAF,United States
34.166668,-97.13333,Downtown,United States
-14.428056,-146.25694,Ahe Airport,French Polynesia
40.3,-99.9,Municipal,United States
45.3,-92.35,Municipal,United States
-3.333333,128.91667,Amahai,Indonesia
2.483333,-59.316666,Aishalton,Guyana
0,0,Sumner Parker Field,United States
33.95195,-83.32472,Athens-Ben Epps,United States
40.630405,8.295891,Fertilia,Italy
15.441667,-84.425,Ahuas,Honduras
35.17972,-3.836944,Charif Al Idrissi,Morocco
31.34292,48.74668,Saih Rawl,Oman
-20.016666,45.533333,Ambatolahy,Madagascar
45.083332,6.083333,Alpe D Huez,France
42.051666,-102.80666,Alliance,United States
56.233334,-132.38333,Anita Bay,United States
7.5,170.83333,Airok,Marshall Islands
40.166668,-85.683334,Municipal,United States
-5.166667,144.66667,Aiome,Papua New Guinea
-22.666668,-50.416668,Assis,Brazil
6.516667,23.25,Yalinga,Central African Republic
-7.348611,141.26639,Aiambak,Papua New Guinea
11.15,42.716667,Alisabieh,
33.566666,-81.71667,Municipal,United States
9.25,-78.083336,Ailigandi,Panama
10.2,169.98334,Ailuk Island,Marshall Islands
70.63333,-160.03334,Wainwright,United States
41.4,-95.01667,Municipal,United States
7.266667,168.81667,Ailinglapalap Island,Marshall Islands
-10.25,-59.38333,Aripuana,Brazil
-2.65,176.83333,Arorae Island,Kiribati
-18.829443,-159.767,Aitutaki,Cook Islands
-20.033333,-158.1,Atiu Island,Cook Islands
33.13333,-88.15,George Downer,United States
-27.983334,17.583332,Ai-ais,Namibia
38.09833,-92.54722,Lee C Fine Memorial,United States
41.91987,8.794013,Campo Dell Oro,France
29.788668,40.101486,Jouf,Saudi Arabia
39.65,43.025,Agri,Turkey
19.730556,-14.374444,Akjoujt,Mauritania
34.13333,49.833332,Araak,Iran
23.838985,92.62482,Aizawl,India
-12.126389,44.42972,Ouani,Comoros
65.59139,19.285557,Arvidsjaur,Sweden
26.833332,-113.666664,Abreojos,Mexico
-10.987206,-37.072792,Santa Maria,Brazil
16.964167,7.993056,Agades,Niger
32.7091,108.936,Ankang,China
52.21722,-174.20084,Atka,United States
41.04,-81.46778,Fulton International,United States
20.666668,77.083336,Akola,India
-1.172222,13.916667,Akieni,Gabon
24.2,23.333332,Kufrah,Libya
-3.633333,142.01666,Anguganak,Papua New Guinea
24.063334,47.580555,Prince Sultan Air Base,Saudi Arabia
60.905556,-161.22333,Akiak,United States
43.67109,142.45454,Asahikawa,Japan
56.944443,-154.16667,Akhiok SPB,United States
-37.004787,174.78352,Auckland International,New Zealand
10.883333,19.816668,Zakouma,
58.68274,-156.66902,King Salmon,United States
40.166668,-103.21667,Colorado Plains Regional Airport,United States
68.1375,-151.74,Anaktuvuk,United States
-4.616667,105.23333,Gunung Batin,Indonesia
7.25,5.083333,Akure,Nigeria
-8.697778,160.68083,Gwaunaru'u,Solomon Islands
34.583332,32.983334,Raf Akrotiri,Cyprus
41.259983,80.29262,Aksu,China
60.733334,-78.583336,Akulivik,Canada
30.75,49.683334,Aghajari,Iran
50.249336,57.211403,Aktyubinsk,Kazakhstan
20.130278,92.88028,Civil,
43.346653,77.01145,Almaty,Kazakhstan
42.745277,-73.809555,Albany International,United States
38.287098,-0.557381,Alicante El Altet,Spain
-11.683333,-69.333336,Alerta,Peru
30.416668,-103.75,Alpine,United States
69.977165,23.355808,Alta,Norway
36.70058,3.21167,Houari Boumediene,
-34.944996,117.804,Albany,Australia
27.75,-98.066666,Alice International Airport,United States
-28.567223,16.536388,Kortdoorn,South Africa
7.966667,39.11667,Asela,Ethiopia
44.05,8.216667,Albenga,Italy
32.845833,-105.985275,Municipal,United States
38.891666,-90.04833,Alton,United States
42.55611,-92.39972,Waterloo,United States
36.185352,37.227074,Nejrab,Syria
-29.799723,-55.763332,Federal,Brazil
-45.21389,169.36945,Alexandra,New Zealand
37.43667,-105.86667,Municipal,United States
-1.933333,-54.766666,Alenquer,Brazil
11.966667,50.8,Alula,Somalia
46.094723,-118.291115,Walla Walla,United States
32.933334,-85.95,Thomas C Russell Field,United States
31.192545,29.953058,El Nohza,Egypt
56.895832,-154.24583,Alitak SPB,United States
35.218273,-101.70513,Rick Husband Amarillo International,United States
-13.183333,48.983334,Ambilobe,Madagascar
11.033333,20.283333,Am Timan,
23.06639,72.62417,Sardar Vallabhbhai Patel International Airport,India
-15.833333,37.583332,Alto Molocue,Mozambique
-4.166667,141.66667,Ama,Papua New Guinea
-4.616667,143.7,Amboin,Papua New Guinea
6.036111,37.576942,Arba Mintch,Ethiopia
-16.183332,-40.683334,Almenara,Brazil
37.15,-107.75,Animas Airpark,United States
31.722534,35.98932,Queen Alia International,Jordan
43.38333,-84.65,Gratiot Community,United States
14.116667,15.316667,Mao,
-24.7,44.733334,Ampanihy,Madagascar
-3.704996,128.08888,Pattimura,Indonesia
7.033333,171.23334,Arno,Marshall Islands
52.30907,4.763385,Schiphol,Netherlands
